epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8585.71,1.1266,0.57353,1.06162,0.83489,0.82594,0.87389,0.54246,0.78001,0.51341,0.94869,0.00884029,0.00884029,0.00884029
43,8790.24,1.12487,0.57485,1.05479,0.84959,0.83247,0.87762,0.54596,0.78639,0.49974,0.95407,0.008812,0.008812,0.008812
44,8994.78,1.13311,0.57965,1.05904,0.87564,0.85098,0.8878,0.55023,0.78526,0.51216,0.95562,0.00878371,0.00878371,0.00878371
45,9199.29,1.11122,0.57816,1.05581,0.86514,0.82917,0.88267,0.5498,0.77883,0.50879,0.94818,0.00875543,0.00875543,0.00875543
46,9403.19,1.12259,0.5672,1.05553,0.86145,0.83846,0.87861,0.54764,0.77326,0.51868,0.94848,0.00872714,0.00872714,0.00872714
47,9606.73,1.12671,0.5726,1.05193,0.85598,0.82228,0.8828,0.54892,0.77312,0.51856,0.94633,0.00869886,0.00869886,0.00869886
48,9810.21,1.10471,0.57421,1.05537,0.84762,0.82106,0.87531,0.54555,0.77966,0.51731,0.95225,0.00867057,0.00867057,0.00867057
49,10014.1,1.13198,0.57835,1.05589,0.86108,0.83242,0.88151,0.55616,0.76808,0.51294,0.94253,0.00864229,0.00864229,0.00864229
50,10217.7,1.11379,0.57043,1.05082,0.85635,0.82434,0.88766,0.55865,0.77602,0.52145,0.94979,0.008614,0.008614,0.008614
51,10420.4,1.11749,0.56759,1.05388,0.86667,0.82075,0.87212,0.54483,0.77969,0.52133,0.94445,0.00858571,0.00858571,0.00858571
52,10624.3,1.12315,0.57412,1.05831,0.85157,0.82385,0.86852,0.54806,0.76541,0.51192,0.9444,0.00855743,0.00855743,0.00855743
53,10828.2,1.11271,0.57128,1.05381,0.84086,0.82955,0.88154,0.54974,0.77181,0.488,0.9442,0.00852914,0.00852914,0.00852914
54,11031.8,1.11379,0.57278,1.05342,0.84209,0.82353,0.86798,0.54999,0.77537,0.51082,0.94806,0.00850086,0.00850086,0.00850086
55,11236.1,1.1141,0.57222,1.05412,0.86133,0.84048,0.88589,0.55586,0.77151,0.50147,0.94605,0.00847257,0.00847257,0.00847257
56,11440,1.10853,0.57167,1.05553,0.85594,0.82708,0.87256,0.55037,0.7709,0.5218,0.94799,0.00844429,0.00844429,0.00844429
57,11644.3,1.1073,0.56792,1.05076,0.86592,0.83511,0.89014,0.55724,0.7687,0.50139,0.94513,0.008416,0.008416,0.008416
58,11847.6,1.11013,0.57256,1.05014,0.84591,0.84057,0.88263,0.55657,0.76437,0.49311,0.94491,0.00838771,0.00838771,0.00838771
59,12051.9,1.11689,0.56262,1.05064,0.87346,0.84821,0.88622,0.56149,0.76256,0.48919,0.93999,0.00835943,0.00835943,0.00835943
60,12255.1,1.11611,0.57107,1.05588,0.86717,0.83092,0.87959,0.55742,0.76842,0.49998,0.94567,0.00833114,0.00833114,0.00833114
61,12459.4,1.10705,0.57429,1.05452,0.86018,0.83612,0.8771,0.55485,0.76865,0.50733,0.94406,0.00830286,0.00830286,0.00830286
62,12662.6,1.10917,0.56878,1.04925,0.85702,0.83977,0.87435,0.55155,0.7674,0.51215,0.94093,0.00827457,0.00827457,0.00827457
63,12866.3,1.09961,0.57041,1.05096,0.86085,0.83792,0.87639,0.54984,0.76002,0.4987,0.94023,0.00824629,0.00824629,0.00824629
64,13070.5,1.10791,0.55471,1.04708,0.86111,0.829,0.87658,0.5545,0.76087,0.49043,0.94083,0.008218,0.008218,0.008218
65,13274.9,1.10609,0.57139,1.05467,0.84741,0.83433,0.87164,0.54923,0.75675,0.50297,0.93975,0.00818971,0.00818971,0.00818971
66,13478,1.1103,0.56692,1.05203,0.84845,0.82267,0.87414,0.55172,0.75559,0.50313,0.93846,0.00816143,0.00816143,0.00816143
67,13681.7,1.10576,0.5636,1.04559,0.85211,0.83564,0.87706,0.5533,0.75891,0.49637,0.94038,0.00813314,0.00813314,0.00813314
68,13885.3,1.10787,0.5749,1.05546,0.85277,0.83117,0.87511,0.5538,0.75643,0.49597,0.93958,0.00810486,0.00810486,0.00810486
69,14090.3,1.11192,0.56767,1.04965,0.85824,0.82295,0.87818,0.55798,0.74945,0.49638,0.93678,0.00807657,0.00807657,0.00807657
70,14294.2,1.11098,0.5673,1.04718,0.86057,0.83439,0.87959,0.55861,0.75587,0.50287,0.9375,0.00804829,0.00804829,0.00804829
71,14498.1,1.10058,0.56464,1.04341,0.84756,0.83461,0.87728,0.55479,0.75804,0.49646,0.93823,0.00802,0.00802,0.00802
72,14702.2,1.10071,0.56443,1.04713,0.85477,0.82077,0.87581,0.55595,0.75947,0.4979,0.93942,0.00799171,0.00799171,0.00799171
73,14906.2,1.09533,0.56406,1.05164,0.85929,0.83279,0.87635,0.55259,0.75896,0.5004,0.93878,0.00796343,0.00796343,0.00796343
74,15110.3,1.11143,0.56792,1.04995,0.85771,0.83371,0.87859,0.55773,0.75123,0.4875,0.93829,0.00793514,0.00793514,0.00793514
75,15315.3,1.09291,0.55774,1.04817,0.86004,0.82965,0.88005,0.56144,0.75172,0.49231,0.93713,0.00790686,0.00790686,0.00790686
76,15519.7,1.10491,0.56899,1.047,0.86075,0.82818,0.87666,0.56068,0.75467,0.49581,0.93606,0.00787857,0.00787857,0.00787857
